Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
126674797,00000135,false,Rx,0,8,91,00,00,00,10,00,11,5A,
126674806,00000110,false,Rx,0,8,00,00,00,00,13,00,0D,2B,
126675692,00000135,false,Rx,0,8,91,00,00,00,20,00,05,5A,
126675694,00000110,false,Rx,0,8,00,00,00,00,23,00,19,2B,
126676676,00000130,false,Rx,0,8,18,00,00,00,10,00,0E,03,
126676677,00000100,false,Rx,0,8,71,00,00,00,10,00,07,3A,
126677829,00000120,false,Rx,0,8,00,00,00,00,13,00,0D,2B,
126677830,00000110,false,Rx,0,8,EF,FF,FF,FF,30,00,16,B4,
126677831,00000050,false,Rx,0,6,41,54,FF,E9,57,FF,00,00,
126678803,00000130,false,Rx,0,8,4C,BA,F5,FF,23,80,CC,A0,
126678805,00000100,false,Rx,0,8,71,00,00,00,20,00,13,3A,
126679803,00000120,false,Rx,0,8,59,00,00,00,20,00,15,12,
126679804,00000110,false,Rx,0,8,EF,FF,FF,FF,40,00,33,74,
126679805,00000210,false,Rx,0,8,75,69,00,05,06,5F,01,03,
126680819,00000130,false,Rx,0,8,95,00,00,00,30,00,09,1E,
126680820,00000100,false,Rx,0,8,71,00,00,00,30,00,1E,FA,
126681922,00000120,false,Rx,0,8,59,00,00,00,30,00,18,D2,
126681923,00000110,false,Rx,0,8,06,00,00,00,50,00,3C,7D,
126682922,00000130,false,Rx,0,8,F8,FF,FF,FF,40,00,30,53,
126682923,00000100,false,Rx,0,8,71,00,00,00,40,00,3B,3A,
126683922,00000120,false,Rx,0,8,59,00,00,00,40,00,3D,12,
126683923,00000110,false,Rx,0,8,06,00,00,00,60,00,28,7D,
126684909,00000130,false,Rx,0,8,B9,FF,FF,FF,50,00,32,82,
126684911,00000100,false,Rx,0,8,71,00,00,00,50,00,36,FA,
126686079,00000120,false,Rx,0,8,59,00,00,00,50,00,30,D2,
126686080,00000110,false,Rx,0,8,EF,FF,FF,FF,70,00,27,74,
126687079,00000130,false,Rx,0,8,18,00,00,00,60,00,2B,C3,
126687081,00000100,false,Rx,0,8,71,00,00,00,60,00,22,FA,
126688082,00000120,false,Rx,0,8,59,00,00,00,60,00,24,D2,
126688084,00000110,false,Rx,0,8,EF,FF,FF,FF,80,00,63,74,
126689048,00000130,false,Rx,0,8,18,00,00,00,70,00,26,03,
126689050,00000100,false,Rx,0,8,71,00,00,00,70,00,2F,3A,
126690049,00000120,false,Rx,0,8,59,00,00,00,70,00,29,12,
126690050,00000110,false,Rx,0,8,06,00,00,00,90,00,6C,7D,
126691176,00000130,false,Rx,0,8,D9,FF,FF,FF,80,00,66,E2,
126691177,00000100,false,Rx,0,8,71,00,00,00,80,00,6B,3A,
126692180,00000120,false,Rx,0,8,59,00,00,00,80,00,6D,12,
126692181,00000110,false,Rx,0,8,06,00,00,00,A0,00,78,7D,
126693178,00000130,false,Rx,0,8,F8,FF,FF,FF,90,00,6D,93,
126693179,00000100,false,Rx,0,8,71,00,00,00,90,00,66,FA,
126693180,00000140,false,Rx,0,8,00,00,00,00,11,11,CC,47,
126694176,00000120,false,Rx,0,8,59,00,00,00,90,00,60,D2,
126694177,00000110,false,Rx,0,8,EF,FF,FF,FF,B0,00,77,74,
126695168,00000130,false,Rx,0,8,F8,FF,FF,FF,A0,00,79,93,
126695170,00000100,false,Rx,0,8,71,00,00,00,A0,00,72,FA,
126696328,00000120,false,Rx,0,8,59,00,00,00,A0,00,74,D2,
126696329,00000110,false,Rx,0,8,EF,FF,FF,FF,C0,00,52,B4,
126697327,00000130,false,Rx,0,8,F8,FF,FF,FF,B0,00,74,53,
126697329,00000100,false,Rx,0,8,5A,00,00,00,B0,00,79,21,
126698300,00000120,false,Rx,0,8,59,00,00,00,B0,00,79,12,
126698302,00000110,false,Rx,0,8,34,00,00,00,D0,00,59,AF,
126698302,00000050,false,Rx,0,6,41,5C,FF,EB,5F,FF,00,00,
126699296,00000130,false,Rx,0,8,4D,21,00,00,C3,80,E2,91,
126699297,00000100,false,Rx,0,8,71,00,00,00,C0,00,5A,FA,
126700453,00000120,false,Rx,0,8,59,00,00,00,C0,00,5C,D2,
126700454,00000110,false,Rx,0,8,34,00,00,00,E0,00,4D,AF,
126701430,00000130,false,Rx,0,8,D9,FF,FF,FF,D0,00,5A,E2,
126701431,00000100,false,Rx,0,8,5A,00,00,00,D0,00,51,21,
126702430,00000120,false,Rx,0,8,59,00,00,00,D0,00,51,12,
126702431,00000110,false,Rx,0,8,06,00,00,00,F0,00,44,7D,
126703426,00000130,false,Rx,0,8,F8,FF,FF,FF,E0,00,48,53,
126703427,00000100,false,Rx,0,8,71,00,00,00,E0,00,43,3A,
126704552,00000120,false,Rx,0,8,59,00,00,00,E0,00,45,12,
126704553,00000110,false,Rx,0,8,06,00,00,00,00,00,00,7D,
126705554,00000130,false,Rx,0,8,F8,FF,FF,FF,F0,00,45,93,
126705556,00000100,false,Rx,0,8,71,00,00,00,F0,00,4E,FA,
126706548,00000120,false,Rx,0,8,59,00,00,00,F0,00,48,D2,
126706549,00000110,false,Rx,0,8,06,00,00,00,10,00,0D,BD,
126707674,00000130,false,Rx,0,8,F8,FF,FF,FF,00,00,01,93,
126707675,00000100,false,Rx,0,8,71,00,00,00,00,00,0A,FA,
126708679,00000120,false,Rx,0,8,59,00,00,00,00,00,0C,D2,
126708680,00000110,false,Rx,0,8,06,00,00,00,20,00,19,BD,
126709681,00000130,false,Rx,0,8,F8,FF,FF,FF,10,00,0C,53,
126709682,00000100,false,Rx,0,8,71,00,00,00,10,00,07,3A,
126710672,00000120,false,Rx,0,8,59,00,00,00,10,00,01,12,
126710674,00000110,false,Rx,0,8,06,00,00,00,30,00,14,7D,
126711825,00000130,false,Rx,0,8,F8,FF,FF,FF,20,00,18,53,
126711826,00000100,false,Rx,0,8,71,00,00,00,20,00,13,3A,
126712828,00000120,false,Rx,0,8,59,00,00,00,20,00,15,12,
126712829,00000110,false,Rx,0,8,06,00,00,00,40,00,31,BD,
126713804,00000130,false,Rx,0,8,37,00,00,00,30,00,10,5C,
126713806,00000100,false,Rx,0,8,5A,00,00,00,30,00,18,E1,
126713806,00000140,false,Rx,0,8,01,00,FF,FF,20,00,18,2E,
126714794,00000120,false,Rx,0,8,59,00,00,00,30,00,18,D2,
126714796,00000110,false,Rx,0,8,06,00,00,00,50,00,3C,7D,
126715922,00000130,false,Rx,0,8,F8,FF,FF,FF,40,00,30,53,
126715923,00000100,false,Rx,0,8,71,00,00,00,40,00,3B,3A,
126716923,00000120,false,Rx,0,8,3D,00,00,00,40,00,35,36,
126716925,00000110,false,Rx,0,8,06,00,00,00,60,00,28,7D,
126717908,00000130,false,Rx,0,8,37,00,00,00,50,00,38,5C,
126717909,00000100,false,Rx,0,8,5A,00,00,00,50,00,30,E1,
126717910,00000120,false,Rx,0,8,3D,00,00,00,50,00,38,F6,
126719202,00000110,false,Rx,0,8,34,00,00,00,70,00,21,AF,
126719204,00000050,false,Rx,0,6,41,5C,FF,EB,5F,FF,00,00,
126719204,00000130,false,Rx,0,8,D8,34,03,00,63,80,8A,13,
126720206,00000100,false,Rx,0,8,71,00,00,00,60,00,22,FA,
126720207,00000120,false,Rx,0,8,59,00,00,00,60,00,24,D2,
126721179,00000110,false,Rx,0,8,34,00,00,00,80,00,65,AF,
126721181,00000130,false,Rx,0,8,F8,FF,FF,FF,70,00,24,53,
126722327,00000100,false,Rx,0,8,71,00,00,00,70,00,2F,3A,
126722329,00000120,false,Rx,0,8,59,00,00,00,70,00,29,12,
126723300,00000110,false,Rx,0,8,06,00,00,00,90,00,6C,7D,
126723301,00000130,false,Rx,0,8,F8,FF,FF,FF,80,00,60,53,
126724301,00000100,false,Rx,0,8,71,00,00,00,80,00,6B,3A,
126724302,00000120,false,Rx,0,8,59,00,00,00,80,00,6D,12,
126725293,00000110,false,Rx,0,8,06,00,00,00,A0,00,78,7D,
126725295,00000130,false,Rx,0,8,D9,FF,FF,FF,90,00,6B,22,
126726451,00000100,false,Rx,0,8,71,00,00,00,90,00,66,FA,
126726452,00000120,false,Rx,0,8,59,00,00,00,90,00,60,D2,
126727459,00000110,false,Rx,0,8,06,00,00,00,B0,00,75,BD,
126727460,00000130,false,Rx,0,8,F8,FF,FF,FF,A0,00,79,93,
126728421,00000100,false,Rx,0,8,71,00,00,00,A0,00,72,FA,
126728422,00000120,false,Rx,0,8,59,00,00,00,A0,00,74,D2,
126729425,00000110,false,Rx,0,8,06,00,00,00,C0,00,50,7D,
126729426,00000130,false,Rx,0,8,D9,FF,FF,FF,B0,00,72,E2,
126730559,00000100,false,Rx,0,8,71,00,00,00,B0,00,7F,3A,
126730561,00000120,false,Rx,0,8,59,00,00,00,B0,00,79,12,
126731588,00000110,false,Rx,0,8,1D,00,00,00,D0,00,5E,56,
126731589,00000130,false,Rx,0,8,F8,FF,FF,FF,C0,00,51,93,
126732552,00000100,false,Rx,0,8,71,00,00,00,C0,00,5A,FA,
126732553,00000120,false,Rx,0,8,3D,00,00,00,C0,00,54,F6,
126733543,00000110,false,Rx,0,8,1D,00,00,00,E0,00,4A,56,
126733544,00000130,false,Rx,0,8,F8,FF,FF,FF,D0,00,5C,53,
126734702,00000100,false,Rx,0,8,71,00,00,00,D0,00,57,3A,
126734703,00000140,false,Rx,0,8,01,00,FF,FF,30,00,15,EE,
126734704,00000120,false,Rx,0,8,3D,00,00,00,D0,00,59,36,
126735703,00000110,false,Rx,0,8,06,00,00,00,F0,00,44,7D,
126735705,00000130,false,Rx,0,8,F8,FF,FF,FF,E0,00,48,53,
126736677,00000100,false,Rx,0,8,88,00,00,00,E0,00,57,53,
126736679,00000120,false,Rx,0,8,3D,00,00,00,E0,00,4D,36,
126737670,00000110,false,Rx,0,8,06,00,00,00,00,00,00,7D,
126737671,00000130,false,Rx,0,8,F8,FF,FF,FF,F0,00,45,93,
126738677,00000100,false,Rx,0,8,71,00,00,00,F0,00,4E,FA,
126738678,00000120,false,Rx,0,8,3D,00,00,00,F0,00,40,F6,
126738679,00000110,false,Rx,0,8,06,00,00,00,10,00,0D,BD,
126739911,00000050,false,Rx,0,6,41,5C,FF,EB,5F,FF,00,00,
126739912,00000130,false,Rx,0,8,EB,95,FF,FF,03,80,1A,69,
126739913,00000100,false,Rx,0,8,5A,00,00,00,00,00,0C,E1,
126741546,00000120,false,Rx,0,8,3D,00,00,00,00,00,04,F6,
126741548,00000110,false,Rx,0,8,06,00,00,00,20,00,19,BD,
126742545,00000130,false,Rx,0,8,B5,00,00,00,10,00,17,BE,
126742546,00000100,false,Rx,0,8,71,00,00,00,10,00,07,3A,
126743660,00000120,false,Rx,0,8,3D,00,00,00,10,00,09,36,
126743661,00000110,false,Rx,0,8,1D,00,00,00,30,00,17,96,
126744675,00000130,false,Rx,0,8,18,00,00,00,20,00,1A,03,
126744677,00000100,false,Rx,0,8,5A,00,00,00,20,00,15,21,
126745680,00000120,false,Rx,0,8,20,00,00,00,20,00,1E,BB,
126745681,00000110,false,Rx,0,8,1D,00,00,00,40,00,32,56,
126746671,00000130,false,Rx,0,8,18,00,00,00,30,00,17,C3,
126746673,00000100,false,Rx,0,8,71,00,00,00,30,00,1E,FA,
126747827,00000120,false,Rx,0,8,20,00,00,00,30,00,13,7B,
126747828,00000110,false,Rx,0,8,34,00,00,00,50,00,38,6F,
126748803,00000130,false,Rx,0,8,D9,FF,FF,FF,40,00,36,E2,
126748804,00000100,false,Rx,0,8,71,00,00,00,40,00,3B,3A,
126749803,00000120,false,Rx,0,8,20,00,00,00,40,00,36,BB,
126749804,00000110,false,Rx,0,8,34,00,00,00,60,00,2C,6F,
126750815,00000130,false,Rx,0,8,18,00,00,00,50,00,3F,C3,
126750816,00000100,false,Rx,0,8,71,00,00,00,50,00,36,FA,
126751923,00000120,false,Rx,0,8,20,00,00,00,50,00,3B,7B,
126751924,00000110,false,Rx,0,8,34,00,00,00,70,00,21,AF,
126752954,00000130,false,Rx,0,8,F8,FF,FF,FF,60,00,29,93,
126752955,00000100,false,Rx,0,8,71,00,00,00,60,00,22,FA,
126753922,00000120,false,Rx,0,8,20,00,00,00,60,00,2F,7B,
126753923,00000110,false,Rx,0,8,34,00,00,00,80,00,65,AF,
126754919,00000130,false,Rx,0,8,18,00,00,00,70,00,26,03,
126754920,00000100,false,Rx,0,8,71,00,00,00,70,00,2F,3A,
126754920,00000140,false,Rx,0,8,01,00,FF,FF,40,00,30,2E,
126756076,00000120,false,Rx,0,8,20,00,00,00,70,00,22,BB,
126756077,00000110,false,Rx,0,8,4B,00,00,00,90,00,63,A0,
126757071,00000130,false,Rx,0,8,18,00,00,00,80,00,62,03,
126757072,00000100,false,Rx,0,8,71,00,00,00,80,00,6B,3A,
126758073,00000120,false,Rx,0,8,20,00,00,00,80,00,66,BB,
126758075,00000110,false,Rx,0,8,4B,00,00,00,A0,00,77,A0,
126759047,00000130,false,Rx,0,8,F8,FF,FF,FF,90,00,6D,93,
126759048,00000100,false,Rx,0,8,5A,00,00,00,90,00,60,E1,
126759049,00000120,false,Rx,0,8,20,00,00,00,90,00,6B,7B,
126760328,00000110,false,Rx,0,8,34,00,00,00,B0,00,71,AF,
126760329,00000050,false,Rx,0,6,41,5C,FF,FB,5F,FF,00,00,
126760330,00000130,false,Rx,0,8,2C,BA,F5,FF,A3,80,A4,C0,
126761301,00000100,false,Rx,0,8,71,00,00,00,A0,00,72,FA,
126761303,00000120,false,Rx,0,8,20,00,00,00,A0,00,7F,7B,
126762295,00000110,false,Rx,0,8,34,00,00,00,C0,00,54,6F,
126762296,00000130,false,Rx,0,8,95,00,00,00,B0,00,68,DE,
126763423,00000100,false,Rx,0,8,5A,00,00,00,B0,00,79,21,
126763424,00000120,false,Rx,0,8,20,00,00,00,B0,00,72,BB,
126764442,00000110,false,Rx,0,8,1D,00,00,00,D0,00,5E,56,
126764443,00000130,false,Rx,0,8,37,00,00,00,C0,00,54,5C,
126765558,00000100,false,Rx,0,8,71,00,00,00,C0,00,5A,FA,
126765560,00000120,false,Rx,0,8,20,00,00,00,C0,00,57,7B,
126766576,00000110,false,Rx,0,8,1D,00,00,00,E0,00,4A,56,
126766578,00000130,false,Rx,0,8,F8,FF,FF,FF,D0,00,5C,53,
126767548,00000100,false,Rx,0,8,71,00,00,00,D0,00,57,3A,
126767549,00000120,false,Rx,0,8,20,00,00,00,D0,00,5A,BB,
126768555,00000110,false,Rx,0,8,34,00,00,00,F0,00,40,6F,
126768557,00000130,false,Rx,0,8,F8,FF,FF,FF,E0,00,48,53,
126769543,00000100,false,Rx,0,8,71,00,00,00,E0,00,43,3A,
126769544,00000120,false,Rx,0,8,3D,00,00,00,E0,00,4D,36,
126770702,00000110,false,Rx,0,8,34,00,00,00,00,00,04,6F,
126770703,00000130,false,Rx,0,8,F8,FF,FF,FF,F0,00,45,93,
126771704,00000100,false,Rx,0,8,71,00,00,00,F0,00,4E,FA,
126771706,00000120,false,Rx,0,8,3D,00,00,00,F0,00,40,F6,
126772705,00000110,false,Rx,0,8,34,00,00,00,10,00,09,AF,
