Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
67740139,00000135,false,Rx,0,8,A0,00,00,00,10,00,15,7B,
67740147,00000110,false,Rx,0,8,00,00,00,00,13,00,0D,2B,
67741146,00000135,false,Rx,0,8,A1,00,00,00,20,00,00,AA,
67741148,00000110,false,Rx,0,8,00,00,00,00,23,00,19,2B,
67742174,00000130,false,Rx,0,8,18,00,00,00,10,00,0E,03,
67742175,00000100,false,Rx,0,8,71,00,00,00,10,00,07,3A,
67743142,00000120,false,Rx,0,8,00,00,00,00,13,00,0D,2B,
67743143,00000110,false,Rx,0,8,79,00,00,00,30,00,1F,B2,
67743143,00000050,false,Rx,0,6,41,54,FF,E9,57,FF,00,00,
67744144,00000130,false,Rx,0,8,2C,BA,F5,FF,23,80,C5,00,
67744146,00000100,false,Rx,0,8,43,00,00,00,20,00,17,28,
67745158,00000120,false,Rx,0,8,20,00,00,00,20,00,1E,BB,
67745159,00000110,false,Rx,0,8,79,00,00,00,40,00,3A,72,
67745160,00000210,false,Rx,0,8,75,69,00,05,06,5F,01,03,
67746293,00000130,false,Rx,0,8,76,00,00,00,30,00,1F,4D,
67746294,00000100,false,Rx,0,8,5A,00,00,00,30,00,18,E1,
67747294,00000120,false,Rx,0,8,20,00,00,00,30,00,13,7B,
67747296,00000110,false,Rx,0,8,79,00,00,00,50,00,37,B2,
67748262,00000130,false,Rx,0,8,18,00,00,00,40,00,32,03,
67748263,00000100,false,Rx,0,8,71,00,00,00,40,00,3B,3A,
67749265,00000120,false,Rx,0,8,04,00,00,00,40,00,30,5F,
67749266,00000110,false,Rx,0,8,79,00,00,00,60,00,23,B2,
67749267,00000130,false,Rx,0,8,D9,FF,FF,FF,50,00,3B,22,
67750523,00000100,false,Rx,0,8,71,00,00,00,50,00,36,FA,
67750524,00000120,false,Rx,0,8,04,00,00,00,50,00,3D,9F,
67751640,00000110,false,Rx,0,8,62,00,00,00,70,00,2D,99,
67751641,00000130,false,Rx,0,8,F8,FF,FF,FF,60,00,29,93,
67752640,00000100,false,Rx,0,8,88,00,00,00,60,00,36,93,
67752641,00000120,false,Rx,0,8,E7,FF,FF,FF,60,00,2B,FC,
67753638,00000110,false,Rx,0,8,62,00,00,00,80,00,69,99,
67753639,00000130,false,Rx,0,8,F8,FF,FF,FF,70,00,24,53,
67754638,00000100,false,Rx,0,8,88,00,00,00,70,00,3B,53,
67754639,00000120,false,Rx,0,8,E7,FF,FF,FF,70,00,26,3C,
67755760,00000110,false,Rx,0,8,62,00,00,00,90,00,64,59,
67755761,00000130,false,Rx,0,8,18,00,00,00,80,00,62,03,
67756797,00000100,false,Rx,0,8,71,00,00,00,80,00,6B,3A,
67756798,00000120,false,Rx,0,8,E7,FF,FF,FF,80,00,62,3C,
67757794,00000110,false,Rx,0,8,62,00,00,00,A0,00,70,59,
67757795,00000130,false,Rx,0,8,F8,FF,FF,FF,90,00,6D,93,
67758773,00000100,false,Rx,0,8,71,00,00,00,90,00,66,FA,
67758774,00000140,false,Rx,0,8,00,00,00,00,11,11,CC,47,
67758775,00000120,false,Rx,0,8,E7,FF,FF,FF,90,00,6F,FC,
67759768,00000110,false,Rx,0,8,62,00,00,00,B0,00,7D,99,
67759769,00000130,false,Rx,0,8,D9,FF,FF,FF,A0,00,7F,22,
67760918,00000100,false,Rx,0,8,71,00,00,00,A0,00,72,FA,
67760919,00000120,false,Rx,0,8,20,00,00,00,A0,00,7F,7B,
67761915,00000110,false,Rx,0,8,62,00,00,00,C0,00,58,59,
67761916,00000130,false,Rx,0,8,37,00,00,00,B0,00,71,9C,
67762895,00000100,false,Rx,0,8,5A,00,00,00,B0,00,79,21,
67762896,00000120,false,Rx,0,8,20,00,00,00,B0,00,72,BB,
67763889,00000110,false,Rx,0,8,A7,00,00,00,D0,00,44,CC,
67763891,00000050,false,Rx,0,6,41,5C,FF,EB,5F,FF,00,00,
67763891,00000130,false,Rx,0,8,4D,21,00,00,C3,80,E2,91,
67765045,00000100,false,Rx,0,8,43,00,00,00,C0,00,5E,E8,
67765047,00000120,false,Rx,0,8,04,00,00,00,C0,00,51,9F,
67766044,00000110,false,Rx,0,8,A7,00,00,00,E0,00,50,CC,
67766046,00000130,false,Rx,0,8,F8,FF,FF,FF,D0,00,5C,53,
67767011,00000100,false,Rx,0,8,5A,00,00,00,D0,00,51,21,
67767012,00000120,false,Rx,0,8,04,00,00,00,D0,00,5C,5F,
67768168,00000110,false,Rx,0,8,79,00,00,00,F0,00,4F,B2,
67768169,00000130,false,Rx,0,8,18,00,00,00,E0,00,4A,03,
67769169,00000100,false,Rx,0,8,5A,00,00,00,E0,00,45,21,
67769171,00000120,false,Rx,0,8,04,00,00,00,E0,00,48,5F,
67770138,00000110,false,Rx,0,8,79,00,00,00,00,00,0B,B2,
67770139,00000130,false,Rx,0,8,F8,FF,FF,FF,F0,00,45,93,
67771160,00000100,false,Rx,0,8,71,00,00,00,F0,00,4E,FA,
67771162,00000120,false,Rx,0,8,04,00,00,00,F0,00,45,9F,
67772270,00000110,false,Rx,0,8,4B,00,00,00,10,00,02,60,
67772271,00000130,false,Rx,0,8,D9,FF,FF,FF,00,00,07,22,
67773294,00000100,false,Rx,0,8,88,00,00,00,00,00,1E,93,
67773296,00000120,false,Rx,0,8,04,00,00,00,00,00,01,9F,
67774272,00000110,false,Rx,0,8,4B,00,00,00,20,00,16,60,
67774274,00000130,false,Rx,0,8,F8,FF,FF,FF,10,00,0C,53,
67775270,00000100,false,Rx,0,8,88,00,00,00,10,00,13,53,
67775271,00000120,false,Rx,0,8,04,00,00,00,10,00,0C,5F,
67776260,00000110,false,Rx,0,8,4B,00,00,00,30,00,1B,A0,
67776262,00000130,false,Rx,0,8,D9,FF,FF,FF,20,00,1E,E2,
67777418,00000100,false,Rx,0,8,88,00,00,00,20,00,07,53,
67777419,00000120,false,Rx,0,8,04,00,00,00,20,00,18,5F,
67778419,00000110,false,Rx,0,8,4B,00,00,00,40,00,3E,60,
67778420,00000130,false,Rx,0,8,18,00,00,00,30,00,17,C3,
67779396,00000100,false,Rx,0,8,71,00,00,00,30,00,1E,FA,
67779397,00000140,false,Rx,0,8,01,00,FF,FF,20,00,18,2E,
67779397,00000120,false,Rx,0,8,04,00,00,00,30,00,15,9F,
67780386,00000110,false,Rx,0,8,62,00,00,00,50,00,34,59,
67780387,00000130,false,Rx,0,8,37,00,00,00,40,00,35,9C,
67781545,00000100,false,Rx,0,8,71,00,00,00,40,00,3B,3A,
67781546,00000120,false,Rx,0,8,04,00,00,00,40,00,30,5F,
67782538,00000110,false,Rx,0,8,62,00,00,00,60,00,20,59,
67782539,00000130,false,Rx,0,8,18,00,00,00,50,00,3F,C3,
67783550,00000100,false,Rx,0,8,43,00,00,00,50,00,32,E8,
67783551,00000120,false,Rx,0,8,04,00,00,00,50,00,3D,9F,
67783552,00000110,false,Rx,0,8,A7,00,00,00,70,00,3C,CC,
67784643,00000050,false,Rx,0,6,41,5C,FF,EB,5F,FF,00,00,
