Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
12534492,00000100,false,Rx,0,8,71,00,00,00,00,00,0A,FA,
12534493,00000120,false,Rx,0,8,3D,00,00,00,70,00,21,36,
12535506,00000110,false,Rx,0,8,34,00,00,00,20,00,1D,AF,
12535507,00000130,false,Rx,0,8,95,00,00,00,10,00,10,DE,
12536644,00000100,false,Rx,0,8,71,00,00,00,10,00,07,3A,
12536645,00000120,false,Rx,0,8,3D,00,00,00,80,00,65,36,
12537641,00000110,false,Rx,0,8,1D,00,00,00,30,00,17,96,
12537642,00000130,false,Rx,0,8,D9,FF,FF,FF,20,00,1E,E2,
12538617,00000100,false,Rx,0,8,71,00,00,00,20,00,13,3A,
12538618,00000120,false,Rx,0,8,3D,00,00,00,90,00,68,F6,
12539766,00000110,false,Rx,0,8,1D,00,00,00,40,00,32,56,
12539768,00000130,false,Rx,0,8,F8,FF,FF,FF,30,00,15,93,
12540765,00000100,false,Rx,0,8,71,00,00,00,30,00,1E,FA,
12540767,00000120,false,Rx,0,8,3D,00,00,00,A0,00,7C,F6,
12541737,00000110,false,Rx,0,8,1D,00,00,00,50,00,3F,96,
12541738,00000130,false,Rx,0,8,F8,FF,FF,FF,40,00,30,53,
12542748,00000100,false,Rx,0,8,88,00,00,00,40,00,2F,53,
12542750,00000120,false,Rx,0,8,20,00,00,00,B0,00,72,BB,
12543782,00000110,false,Rx,0,8,1D,00,00,00,60,00,2B,96,
12543783,00000130,false,Rx,0,8,D9,FF,FF,FF,50,00,3B,22,
12544837,00000100,false,Rx,0,8,5A,00,00,00,50,00,30,E1,
12544838,00000120,false,Rx,0,8,20,00,00,00,C0,00,57,7B,
837,00000110,false,Rx,0,8,1D,00,00,00,70,00,26,56,
838,00000130,false,Rx,0,8,18,00,00,00,60,00,2B,C3,
1837,00000100,false,Rx,0,8,5A,00,00,00,60,00,24,E1,
1838,00000120,false,Rx,0,8,3D,00,00,00,D0,00,59,36,
2836,00000110,false,Rx,0,8,1D,00,00,00,80,00,62,56,
2837,00000130,false,Rx,0,8,D9,FF,FF,FF,70,00,22,E2,
3984,00000100,false,Rx,0,8,5A,00,00,00,70,00,29,21,
3987,00000140,false,Rx,0,8,01,00,FF,FF,C0,00,51,EE,
3987,00000120,false,Rx,0,8,3D,00,00,00,E0,00,4D,36,
5033,00000110,false,Rx,0,8,1D,00,00,00,90,00,6F,96,
5035,00000150,false,Rx,0,4,FD,F4,40,A7,00,00,00,00,
5035,00000130,false,Rx,0,8,D9,FF,FF,FF,80,00,66,E2,
5988,00000100,false,Rx,0,8,71,00,00,00,80,00,6B,3A,
5990,00000120,false,Rx,0,8,3D,00,00,00,F0,00,40,F6,
6963,00000110,false,Rx,0,8,1D,00,00,00,A0,00,7B,96,
6965,00000130,false,Rx,0,8,F8,FF,FF,FF,90,00,6D,93,
7962,00000100,false,Rx,0,8,5A,00,00,00,90,00,60,E1,
7963,00000120,false,Rx,0,8,3D,00,00,00,00,00,04,F6,
7964,00000110,false,Rx,0,8,34,00,00,00,B0,00,71,AF,
9238,00000050,false,Rx,0,6,40,54,FF,FF,DF,FF,00,00,
9239,00000130,false,Rx,0,8,4C,BA,F5,FF,A3,80,AD,60,
9240,00000100,false,Rx,0,8,71,00,00,00,A0,00,72,FA,
10846,00000120,false,Rx,0,8,3D,00,00,00,10,00,09,36,
10847,00000110,false,Rx,0,8,34,00,00,00,C0,00,54,6F,
11840,00000130,false,Rx,0,8,D5,00,00,00,B0,00,66,1E,
11842,00000100,false,Rx,0,8,71,00,00,00,B0,00,7F,3A,
12957,00000120,false,Rx,0,8,3D,00,00,00,20,00,1D,36,
12959,00000110,false,Rx,0,8,1D,00,00,00,D0,00,5E,56,
13958,00000130,false,Rx,0,8,F8,FF,FF,FF,C0,00,51,93,
13959,00000100,false,Rx,0,8,71,00,00,00,C0,00,5A,FA,
14956,00000120,false,Rx,0,8,20,00,00,00,30,00,13,7B,
14957,00000110,false,Rx,0,8,1D,00,00,00,E0,00,4A,56,
15987,00000130,false,Rx,0,8,18,00,00,00,D0,00,5E,03,
15988,00000100,false,Rx,0,8,71,00,00,00,D0,00,57,3A,
16954,00000120,false,Rx,0,8,20,00,00,00,40,00,36,BB,
16954,00000110,false,Rx,0,8,1D,00,00,00,F0,00,47,96,
18110,00000130,false,Rx,0,8,F8,FF,FF,FF,E0,00,48,53,
18111,00000100,false,Rx,0,8,71,00,00,00,E0,00,43,3A,
19110,00000120,false,Rx,0,8,3D,00,00,00,50,00,38,F6,
19111,00000110,false,Rx,0,8,1D,00,00,00,00,00,03,96,
20092,00000130,false,Rx,0,8,37,00,00,00,F0,00,40,5C,
20093,00000100,false,Rx,0,8,71,00,00,00,F0,00,4E,FA,
21087,00000120,false,Rx,0,8,3D,00,00,00,60,00,2C,F6,
21088,00000110,false,Rx,0,8,1D,00,00,00,10,00,0E,56,
22110,00000130,false,Rx,0,8,18,00,00,00,00,00,03,C3,
22111,00000100,false,Rx,0,8,71,00,00,00,00,00,0A,FA,
23235,00000120,false,Rx,0,8,3D,00,00,00,70,00,21,36,
23237,00000110,false,Rx,0,8,1D,00,00,00,20,00,1A,56,
24235,00000130,false,Rx,0,8,18,00,00,00,10,00,0E,03,
24236,00000100,false,Rx,0,8,71,00,00,00,10,00,07,3A,
24237,00000140,false,Rx,0,8,01,00,FF,FF,D0,00,5C,2E,
25236,00000120,false,Rx,0,8,3D,00,00,00,80,00,65,36,
25237,00000110,false,Rx,0,8,1D,00,00,00,30,00,17,96,
25238,00000150,false,Rx,0,4,FD,F4,40,A7,00,00,00,00,
26238,00000130,false,Rx,0,8,F8,FF,FF,FF,20,00,18,53,
26239,00000100,false,Rx,0,8,71,00,00,00,20,00,13,3A,
27360,00000120,false,Rx,0,8,59,00,00,00,90,00,60,D2,
27361,00000110,false,Rx,0,8,1D,00,00,00,40,00,32,56,
28357,00000130,false,Rx,0,8,F8,FF,FF,FF,30,00,15,93,
28359,00000100,false,Rx,0,8,5A,00,00,00,30,00,18,E1,
