Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
306102089,00000130,false,Rx,0,8,18,00,00,00,70,00,26,03,
306102090,00000100,false,Rx,0,8,86,00,00,00,70,00,3A,7D,
306103224,00000120,false,Rx,0,8,F1,FF,FF,FF,40,00,30,CA,
306103226,00000110,false,Rx,0,8,46,00,00,00,90,00,62,BD,
306104245,00000130,false,Rx,0,8,F8,FF,FF,FF,80,00,60,53,
306104246,00000100,false,Rx,0,8,6F,00,00,00,80,00,68,84,
306105222,00000120,false,Rx,0,8,F1,FF,FF,FF,50,00,3D,0A,
306105223,00000110,false,Rx,0,8,46,00,00,00,A0,00,76,BD,
306106223,00000130,false,Rx,0,8,F8,FF,FF,FF,90,00,6D,93,
306106224,00000100,false,Rx,0,8,6F,00,00,00,90,00,65,44,
306106224,00000140,false,Rx,0,8,01,00,FF,FF,90,00,6D,EE,
306107374,00000120,false,Rx,0,8,F1,FF,FF,FF,60,00,29,0A,
306107376,00000110,false,Rx,0,8,5D,00,00,00,B0,00,78,96,
306108365,00000130,false,Rx,0,8,F8,FF,FF,FF,A0,00,79,93,
306108366,00000100,false,Rx,0,8,6F,00,00,00,A0,00,71,44,
306109373,00000120,false,Rx,0,8,0E,00,00,00,70,00,24,F5,
306109374,00000110,false,Rx,0,8,5D,00,00,00,C0,00,5D,56,
306110346,00000130,false,Rx,0,8,D9,FF,FF,FF,B0,00,72,E2,
306110348,00000100,false,Rx,0,8,58,00,00,00,B0,00,78,C3,
306110348,00000150,false,Rx,0,4,FD,F4,40,A7,00,00,00,00,
306110349,00000120,false,Rx,0,8,0E,00,00,00,80,00,60,F5,
306111573,00000110,false,Rx,0,8,8B,00,00,00,D0,00,43,60,
306111575,00000050,false,Rx,0,6,40,54,FF,FF,DF,FF,00,00,
306111576,00000130,false,Rx,0,8,48,21,00,00,C3,80,E2,C4,
306112589,00000100,false,Rx,0,8,41,00,00,00,C0,00,5F,0A,
306112591,00000120,false,Rx,0,8,0E,00,00,00,90,00,6D,35,
306113589,00000110,false,Rx,0,8,8B,00,00,00,E0,00,57,60,
306113590,00000130,false,Rx,0,8,D9,FF,FF,FF,D0,00,5A,E2,
306114706,00000100,false,Rx,0,8,6F,00,00,00,D0,00,54,84,
306114707,00000120,false,Rx,0,8,0E,00,00,00,A0,00,79,35,
306115684,00000110,false,Rx,0,8,5D,00,00,00,F0,00,49,56,
306115685,00000130,false,Rx,0,8,D9,FF,FF,FF,E0,00,4E,E2,
306116681,00000100,false,Rx,0,8,6F,00,00,00,E0,00,40,84,
306116681,00000120,false,Rx,0,8,F1,FF,FF,FF,B0,00,74,CA,
306117806,00000110,false,Rx,0,8,5D,00,00,00,00,00,0D,56,
306117806,00000130,false,Rx,0,8,F8,FF,FF,FF,F0,00,45,93,
306118834,00000100,false,Rx,0,8,6F,00,00,00,F0,00,4D,44,
306118835,00000120,false,Rx,0,8,F1,FF,FF,FF,C0,00,51,0A,
306119834,00000110,false,Rx,0,8,5D,00,00,00,10,00,00,96,
306119835,00000130,false,Rx,0,8,F8,FF,FF,FF,00,00,01,93,
306120833,00000100,false,Rx,0,8,6F,00,00,00,00,00,09,44,
306120835,00000120,false,Rx,0,8,F1,FF,FF,FF,D0,00,5C,CA,
963,00000110,false,Rx,0,8,5D,00,00,00,20,00,14,96,
964,00000130,false,Rx,0,8,D9,FF,FF,FF,10,00,0A,E2,
1946,00000100,false,Rx,0,8,86,00,00,00,10,00,12,7D,
1947,00000120,false,Rx,0,8,F1,FF,FF,FF,E0,00,48,CA,
2956,00000110,false,Rx,0,8,5D,00,00,00,30,00,19,56,
2957,00000130,false,Rx,0,8,D9,FF,FF,FF,20,00,1E,E2,
3987,00000100,false,Rx,0,8,6F,00,00,00,20,00,10,84,
3989,00000120,false,Rx,0,8,0E,00,00,00,F0,00,45,35,
4958,00000110,false,Rx,0,8,5D,00,00,00,40,00,3C,96,
4959,00000130,false,Rx,0,8,18,00,00,00,30,00,17,C3,
6092,00000100,false,Rx,0,8,6F,00,00,00,30,00,1D,44,
6094,00000140,false,Rx,0,8,01,00,FF,FF,A0,00,79,EE,
6094,00000120,false,Rx,0,8,0E,00,00,00,00,00,01,35,
7095,00000110,false,Rx,0,8,5D,00,00,00,50,00,31,56,
