Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
5271056,00000135,false,Rx,0,8,AA,00,00,00,10,00,15,D1,
5271058,00000110,false,Rx,0,8,00,00,00,00,13,00,0D,2B,
5272180,00000135,false,Rx,0,8,AA,00,00,00,20,00,01,D1,
5272182,00000110,false,Rx,0,8,00,00,00,00,23,00,19,2B,
5272182,00000130,false,Rx,0,8,F8,FF,FF,FF,10,00,0C,53,
5273430,00000100,false,Rx,0,8,71,00,00,00,10,00,07,3A,
5273433,00000120,false,Rx,0,8,00,00,00,00,13,00,0D,2B,
5274433,00000110,false,Rx,0,8,46,F8,FF,FF,30,00,BB,4D,
5274434,00000050,false,Rx,0,6,41,54,FF,E9,57,FF,00,00,
5274435,00000130,false,Rx,0,8,2C,BA,F5,FF,23,80,C5,00,
5275401,00000100,false,Rx,0,8,5A,00,00,00,20,00,15,21,
5275402,00000120,false,Rx,0,8,73,EC,FF,FF,20,00,83,2B,
5276409,00000110,false,Rx,0,8,46,F8,FF,FF,40,00,9E,8D,
5276410,00000210,false,Rx,0,8,75,69,00,05,06,5F,01,03,
5276411,00000130,false,Rx,0,8,76,00,00,00,30,00,1F,4D,
5277558,00000100,false,Rx,0,8,5A,00,00,00,30,00,18,E1,
5277559,00000120,false,Rx,0,8,73,EC,FF,FF,30,00,8E,EB,
5278560,00000110,false,Rx,0,8,74,F8,FF,FF,50,00,97,5F,
5278561,00000130,false,Rx,0,8,D9,FF,FF,FF,40,00,36,E2,
5279533,00000100,false,Rx,0,8,43,00,00,00,40,00,3F,28,
5279535,00000120,false,Rx,0,8,90,EC,FF,FF,40,00,BD,78,
5280527,00000110,false,Rx,0,8,74,F8,FF,FF,60,00,83,5F,
5280529,00000130,false,Rx,0,8,18,00,00,00,50,00,3F,C3,
5281532,00000100,false,Rx,0,8,71,00,00,00,50,00,36,FA,
5281533,00000120,false,Rx,0,8,90,EC,FF,FF,50,00,B0,B8,
5282654,00000110,false,Rx,0,8,A2,F8,FF,FF,70,00,9D,69,
5282655,00000130,false,Rx,0,8,F8,FF,FF,FF,60,00,29,93,
5283653,00000100,false,Rx,0,8,71,00,00,00,60,00,22,FA,
5283654,00000120,false,Rx,0,8,73,EC,FF,FF,60,00,B2,EB,
5284649,00000110,false,Rx,0,8,A2,F8,FF,FF,80,00,D9,69,
5284650,00000130,false,Rx,0,8,F8,FF,FF,FF,70,00,24,53,
5285659,00000100,false,Rx,0,8,88,00,00,00,70,00,3B,53,
5285660,00000120,false,Rx,0,8,73,EC,FF,FF,70,00,BF,2B,
5286654,00000110,false,Rx,0,8,B9,F8,FF,FF,90,00,D7,42,
5286656,00000130,false,Rx,0,8,B9,FF,FF,FF,80,00,6F,42,
5287805,00000100,false,Rx,0,8,88,00,00,00,80,00,7F,53,
5287806,00000120,false,Rx,0,8,73,EC,FF,FF,80,00,FB,2B,
5288784,00000110,false,Rx,0,8,B9,F8,FF,FF,A0,00,C3,42,
5288786,00000130,false,Rx,0,8,D9,FF,FF,FF,90,00,6B,22,
5289785,00000100,false,Rx,0,8,88,00,00,00,90,00,72,93,
5289787,00000140,false,Rx,0,8,00,00,00,00,11,11,CC,47,
5289787,00000120,false,Rx,0,8,73,EC,FF,FF,90,00,F6,EB,
5290807,00000110,false,Rx,0,8,D0,F8,FF,FF,B0,00,C7,BB,
5290808,00000130,false,Rx,0,8,F8,FF,FF,FF,A0,00,79,93,
5291931,00000100,false,Rx,0,8,71,00,00,00,A0,00,72,FA,
5291933,00000120,false,Rx,0,8,73,EC,FF,FF,A0,00,E2,EB,
5292933,00000110,false,Rx,0,8,D0,F8,FF,FF,C0,00,E2,7B,
5292934,00000130,false,Rx,0,8,18,00,00,00,B0,00,76,03,
5293913,00000100,false,Rx,0,8,71,00,00,00,B0,00,7F,3A,
5293914,00000120,false,Rx,0,8,73,EC,FF,FF,B0,00,EF,2B,
5294907,00000110,false,Rx,0,8,15,F9,FF,FF,D0,00,C3,2E,
5294909,00000050,false,Rx,0,6,41,5C,FF,EB,5F,FF,00,00,
5294910,00000130,false,Rx,0,8,4D,21,00,00,C3,80,E2,91,
5296009,00000100,false,Rx,0,8,5A,00,00,00,C0,00,5C,E1,
5296011,00000120,false,Rx,0,8,73,EC,FF,FF,C0,00,CA,EB,
5297051,00000110,false,Rx,0,8,15,F9,FF,FF,E0,00,D7,2E,
5297052,00000130,false,Rx,0,8,F8,FF,FF,FF,D0,00,5C,53,
5298012,00000100,false,Rx,0,8,5A,00,00,00,D0,00,51,21,
5298013,00000120,false,Rx,0,8,73,EC,FF,FF,D0,00,C7,2B,
5299157,00000110,false,Rx,0,8,E7,F8,FF,FF,F0,00,F2,3C,
5299159,00000130,false,Rx,0,8,D9,FF,FF,FF,E0,00,4E,E2,
5300159,00000100,false,Rx,0,8,71,00,00,00,E0,00,43,3A,
5300160,00000120,false,Rx,0,8,73,EC,FF,FF,E0,00,D3,2B,
5301158,00000110,false,Rx,0,8,E7,F8,FF,FF,00,00,B6,3C,
5301159,00000130,false,Rx,0,8,D9,FF,FF,FF,F0,00,43,22,
5302158,00000100,false,Rx,0,8,71,00,00,00,F0,00,4E,FA,
