Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
14653634,00000135,false,Rx,0,8,B0,00,00,00,10,00,17,EB,
14653636,00000110,false,Rx,0,8,00,00,00,00,13,00,0D,2B,
14654631,00000135,false,Rx,0,8,AF,00,00,00,20,00,01,84,
14654632,00000110,false,Rx,0,8,00,00,00,00,23,00,19,2B,
14655622,00000130,false,Rx,0,8,18,00,00,00,10,00,0E,03,
14655623,00000100,false,Rx,0,8,6F,00,00,00,10,00,04,84,
14656631,00000120,false,Rx,0,8,00,00,00,00,13,00,0D,2B,
14656632,00000110,false,Rx,0,8,94,11,00,00,30,00,F4,CC,
14656633,00000050,false,Rx,0,6,41,54,FF,E9,57,FF,00,00,
14657780,00000130,false,Rx,0,8,D7,BB,F5,FF,23,80,ED,4B,
14657781,00000100,false,Rx,0,8,6F,00,00,00,20,00,10,84,
14658781,00000120,false,Rx,0,8,82,13,00,00,20,00,82,3A,
14658782,00000110,false,Rx,0,8,94,11,00,00,40,00,D1,0C,
14658783,00000210,false,Rx,0,8,75,69,00,05,06,5F,01,03,
14659775,00000130,false,Rx,0,8,95,00,00,00,30,00,09,1E,
14659778,00000100,false,Rx,0,8,86,00,00,00,30,00,0B,BD,
14660756,00000120,false,Rx,0,8,82,13,00,00,30,00,8F,FA,
14660757,00000110,false,Rx,0,8,94,11,00,00,50,00,DC,CC,
14661905,00000130,false,Rx,0,8,18,00,00,00,40,00,32,03,
14661907,00000100,false,Rx,0,8,86,00,00,00,40,00,2E,7D,
14662902,00000120,false,Rx,0,8,9F,13,00,00,40,00,A9,B7,
14662903,00000110,false,Rx,0,8,94,11,00,00,60,00,C8,CC,
14663879,00000130,false,Rx,0,8,F8,FF,FF,FF,50,00,3D,93,
14663881,00000100,false,Rx,0,8,6F,00,00,00,50,00,35,44,
14664882,00000120,false,Rx,0,8,9F,13,00,00,50,00,A4,77,
14664883,00000110,false,Rx,0,8,94,11,00,00,70,00,C5,0C,
14665874,00000130,false,Rx,0,8,F8,FF,FF,FF,60,00,29,93,
14665876,00000100,false,Rx,0,8,58,00,00,00,60,00,25,03,
14666999,00000120,false,Rx,0,8,9F,13,00,00,60,00,B0,77,
14667001,00000110,false,Rx,0,8,94,11,00,00,80,00,81,0C,
