Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
118752033,00000135,false,Rx,0,8,A2,00,00,00,10,00,14,99,
118752035,00000110,false,Rx,0,8,00,00,00,00,13,00,0D,2B,
118753017,00000135,false,Rx,0,8,A2,00,00,00,20,00,00,99,
118753019,00000110,false,Rx,0,8,00,00,00,00,23,00,19,2B,
118754175,00000130,false,Rx,0,8,18,00,00,00,10,00,0E,03,
118754176,00000100,false,Rx,0,8,88,00,00,00,10,00,13,53,
118755175,00000120,false,Rx,0,8,00,00,00,00,13,00,0D,2B,
118755177,00000110,false,Rx,0,8,62,00,00,00,30,00,1C,59,
118755178,00000050,false,Rx,0,6,41,54,FF,E9,57,FF,00,00,
118756144,00000130,false,Rx,0,8,2C,BA,F5,FF,23,80,C5,00,
118756145,00000100,false,Rx,0,8,71,00,00,00,20,00,13,3A,
118757155,00000120,false,Rx,0,8,20,00,00,00,20,00,1E,BB,
118757157,00000110,false,Rx,0,8,62,00,00,00,40,00,39,99,
118757157,00000210,false,Rx,0,8,75,69,00,05,06,5F,01,03,
118758164,00000130,false,Rx,0,8,95,00,00,00,30,00,09,1E,
118758166,00000100,false,Rx,0,8,5A,00,00,00,30,00,18,E1,
118759299,00000120,false,Rx,0,8,20,00,00,00,30,00,13,7B,
118759300,00000110,false,Rx,0,8,79,00,00,00,50,00,37,B2,
118760298,00000130,false,Rx,0,8,F8,FF,FF,FF,40,00,30,53,
118760300,00000100,false,Rx,0,8,5A,00,00,00,40,00,3D,21,
118761272,00000120,false,Rx,0,8,04,00,00,00,40,00,30,5F,
118761273,00000110,false,Rx,0,8,79,00,00,00,60,00,23,B2,
118762265,00000130,false,Rx,0,8,18,00,00,00,50,00,3F,C3,
118762266,00000100,false,Rx,0,8,5A,00,00,00,50,00,30,E1,
118763422,00000120,false,Rx,0,8,04,00,00,00,50,00,3D,9F,
118763423,00000110,false,Rx,0,8,79,00,00,00,70,00,2E,72,
118764423,00000130,false,Rx,0,8,D9,FF,FF,FF,60,00,2F,22,
118764424,00000100,false,Rx,0,8,5A,00,00,00,60,00,24,E1,
118765393,00000120,false,Rx,0,8,04,00,00,00,60,00,29,9F,
118765394,00000110,false,Rx,0,8,79,00,00,00,80,00,6A,72,
118766400,00000130,false,Rx,0,8,F8,FF,FF,FF,70,00,24,53,
118766401,00000100,false,Rx,0,8,71,00,00,00,70,00,2F,3A,
118767389,00000120,false,Rx,0,8,04,00,00,00,70,00,24,5F,
118767391,00000110,false,Rx,0,8,62,00,00,00,90,00,64,59,
118768525,00000130,false,Rx,0,8,18,00,00,00,80,00,62,03,
118768527,00000100,false,Rx,0,8,88,00,00,00,80,00,7F,53,
118769549,00000120,false,Rx,0,8,E7,FF,FF,FF,80,00,62,3C,
118769551,00000110,false,Rx,0,8,62,00,00,00,A0,00,70,59,
118770526,00000130,false,Rx,0,8,18,00,00,00,90,00,6F,C3,
118770528,00000100,false,Rx,0,8,88,00,00,00,90,00,72,93,
118770528,00000140,false,Rx,0,8,00,00,00,00,11,11,CC,47,
118771515,00000120,false,Rx,0,8,E7,FF,FF,FF,90,00,6F,FC,
118771517,00000110,false,Rx,0,8,4B,00,00,00,B0,00,7A,60,
118772645,00000130,false,Rx,0,8,F8,FF,FF,FF,A0,00,79,93,
118772646,00000100,false,Rx,0,8,71,00,00,00,A0,00,72,FA,
118773625,00000120,false,Rx,0,8,04,00,00,00,A0,00,79,9F,
118773627,00000110,false,Rx,0,8,4B,00,00,00,C0,00,5F,A0,
118774648,00000130,false,Rx,0,8,18,00,00,00,B0,00,76,03,
118774649,00000100,false,Rx,0,8,71,00,00,00,B0,00,7F,3A,
118775623,00000120,false,Rx,0,8,04,00,00,00,B0,00,74,5F,
118775624,00000110,false,Rx,0,8,90,00,00,00,D0,00,40,8B,
118775625,00000050,false,Rx,0,6,41,5C,FF,EB,5F,FF,00,00,
118776642,00000130,false,Rx,0,8,6C,21,00,00,C3,80,E4,20,
118776643,00000100,false,Rx,0,8,5A,00,00,00,C0,00,5C,E1,
118777795,00000120,false,Rx,0,8,20,00,00,00,C0,00,57,7B,
118777797,00000110,false,Rx,0,8,90,00,00,00,E0,00,54,8B,
118778772,00000130,false,Rx,0,8,F8,FF,FF,FF,D0,00,5C,53,
118778774,00000100,false,Rx,0,8,5A,00,00,00,D0,00,51,21,
118779768,00000120,false,Rx,0,8,20,00,00,00,D0,00,5A,BB,
